Index,Tag,Station,Type,SW Ver.,Time Stamp,Log Interval,Latitude,Longitude,Altitude,DOP,Speed,Battery,Temperature,Light Intensity,Movement,Accelerometer,Alarm,RSSI,Coverage,Retries,Ack Source
99,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 08:00,(-),-17.878050°,25.831715°,(-),<10 meters,0 km/h,7 Volt,21°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
100,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 09:00,(-),-17.881317°,25.833132°,(-),<10 meters,0 km/h,7 Volt,26°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
101,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 10:00,(-),-17.882565°,25.835117°,(-),<10 meters,0 km/h,7 Volt,31°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
102,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 11:00,(-),-17.884298°,25.836617°,(-),<10 meters,0 km/h,7 Volt,37°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
103,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 12:00,(-),-17.884667°,25.836448°,(-),<10 meters,0 km/h,7 Volt,35°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
104,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 13:00,(-),-17.883350°,25.833748°,(-),<10 meters,0 km/h,7 Volt,31°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
105,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 14:00,(-),-17.883298°,25.835048°,(-),<10 meters,0 km/h,7 Volt,38°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
106,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 15:00,(-),-17.884000°,25.837050°,(-),<10 meters,0 km/h,7 Volt,39°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
107,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 16:00,(-),-17.884398°,25.840215°,(-),<10 meters,0 km/h,7 Volt,42°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
108,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 18:00,(-),-17.879417°,25.847448°,(-),<10 meters,0 km/h,7 Volt,38°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
109,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 19:00,(-),-17.869783°,25.844982°,(-),<10 meters,0 km/h,7 Volt,34°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
110,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 20:00,(-),-17.869615°,25.844982°,(-),<10 meters,0 km/h,7 Volt,31°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
111,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 21:00,(-),-17.871315°,25.841767°,(-),<10 meters,0 km/h,7 Volt,29°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
112,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 22:00,(-),-17.873032°,25.840532°,(-),<10 meters,0 km/h,7 Volt,27°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
