STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/2/2019,,65,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/3/2019,,63,76,53
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/4/2019,,68,81,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/5/2019,,67,82,50
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/6/2019,,73,,48
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/7/2019,,74,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/8/2019,,63,76,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/9/2019,,65,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/10/2019,,65,79,47
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/11/2019,,65,,49
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/12/2019,,62,,48
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/13/2019,,63,,48
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/15/2019,,63,,47
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/16/2019,,62,78,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/17/2019,,61,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/18/2019,,65,,50
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/19/2019,,66,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/20/2019,,63,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/21/2019,,67,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/22/2019,,62,76,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/23/2019,,59,74,45
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/24/2019,,61,,49
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/25/2019,0,60,,54
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/26/2019,,60,,
ZI000067775,"HARARE KUTSAGA, ZI",-17.917,31.133,1480,5/27/2019,,62,72,
