Index,Tag,Station,Type,SW Ver.,Time Stamp,Log Interval,Latitude,Longitude,Altitude,DOP,Speed,Battery,Temperature,Light Intensity,Movement,Accelerometer,Alarm,RSSI,Coverage,Retries,Ack Source
76,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 07:00,(-),-18.031483°,25.781917°,(-),<10 meters,0 km/h,7 Volt,16°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
77,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 08:00,(-),-18.035217°,25.783798°,(-),<10 meters,0 km/h,7 Volt,18°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
78,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 09:00,(-),-18.039798°,25.782515°,(-),<10 meters,0 km/h,7 Volt,25°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
79,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 10:00,(-),-18.041732°,25.781683°,(-),<10 meters,0 km/h,7 Volt,30°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
80,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 11:00,(-),-18.042167°,25.780498°,(-),<10 meters,0 km/h,7 Volt,34°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
81,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 12:00,(-),-18.043883°,25.778167°,(-),<10 meters,0 km/h,7 Volt,37°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
82,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 13:00,(-),-18.042817°,25.777048°,(-),<10 meters,0 km/h,7 Volt,39°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
83,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 14:00,(-),-18.042833°,25.777083°,(-),<10 meters,0 km/h,7 Volt,39°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
84,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 15:00,(-),-18.042798°,25.777083°,(-),<10 meters,0 km/h,7 Volt,38°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
85,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 16:00,(-),-18.043315°,25.775998°,(-),<10 meters,0 km/h,7 Volt,37°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
86,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 17:00,(-),-18.042998°,25.774417°,(-),<10 meters,0 km/h,7 Volt,37°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
87,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 18:00,(-),-18.043732°,25.773948°,(-),<10 meters,0 km/h,7 Volt,35°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
88,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 19:00,(-),-18.044732°,25.774083°,(-),<10 meters,0 km/h,7 Volt,32°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
89,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 20:00,(-),-18.046250°,25.770832°,(-),<10 meters,0 km/h,7 Volt,30°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
90,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 21:00,(-),-18.046150°,25.770832°,(-),<10 meters,0 km/h,7 Volt,29°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
91,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 22:00,(-),-18.046298°,25.770298°,(-),<10 meters,0 km/h,7 Volt,27°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
92,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 23:00,(-),-18.047465°,25.767450°,(-),<10 meters,0 km/h,7 Volt,25°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
93,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 00:00,(-),-18.047333°,25.765898°,(-),<10 meters,0 km/h,7 Volt,23°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
94,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 01:00,(-),-18.045548°,25.762515°,(-),<10 meters,0 km/h,7 Volt,22°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
95,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 02:00,(-),-18.045032°,25.758098°,(-),<10 meters,0 km/h,7 Volt,20°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
96,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 03:00,(-),-18.045548°,25.757248°,(-),<10 meters,0 km/h,7 Volt,19°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
97,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 04:00,(-),-18.045600°,25.757232°,(-),<10 meters,0 km/h,7 Volt,18°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
98,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),5/9/2021 05:00,(-),-18.046250°,25.757548°,(-),<10 meters,0 km/h,7 Volt,18°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
