"","Time","Latitude","Longitude","doy","BulNum"
"140","2021-01-06 21:00:32",-18.37245,25.8534333333333,6,"2"
"1403","2021-01-06 21:00:32",-17.94595,25.80975,6,"8"
"1407","2021-01-06 21:00:32",-18.0638166666667,25.7477333333333,6,"12"
"1405","2021-01-06 22:00:32",-18.4710166666667,25.6160666666667,6,"9"
"1366","2021-01-06 22:00:32",-18.1801833333333,25.4158,6,"10"
"1401","2021-01-06 23:00:32",-17.9871333333333,25.4624333333333,6,"6"
"1442","2021-01-06 23:00:32",-17.8832,25.6461166666667,6,"7"
"144","2021-01-07 01:00:32",-18.36855,25.8528666666667,7,"2"
"1443","2021-01-07 01:00:32",-17.9439,25.81505,7,"8"
"1447","2021-01-07 01:00:32",-18.0684833333333,25.7368333333333,7,"12"
"1445","2021-01-07 02:00:32",-18.4716,25.6218166666667,7,"9"
"1406","2021-01-07 02:00:32",-18.1801833333333,25.4158166666667,7,"10"
"1441","2021-01-07 03:00:32",-17.9865666666667,25.47685,7,"6"
"1482","2021-01-07 03:00:32",-17.8832166666667,25.6460666666667,7,"7"
"1483","2021-01-07 05:00:32",-17.9459166666667,25.8117,7,"8"
"1487","2021-01-07 05:01:02",-18.0684166666667,25.7341333333333,7,"12"
"148","2021-01-07 05:01:14",-18.3685,25.8529166666667,7,"2"
"1485","2021-01-07 06:00:32",-18.4707,25.6244,7,"9"
"1446","2021-01-07 06:00:32",-18.1802,25.4158,7,"10"
"1481","2021-01-07 07:00:32",-17.98495,25.4774833333333,7,"6"
"1522","2021-01-07 07:00:32",-17.8831833333333,25.64605,7,"7"
"152","2021-01-07 09:00:32",-18.3878,25.8699,7,"2"
"1523","2021-01-07 09:00:32",-17.9370833333333,25.8008333333333,7,"8"
"1527","2021-01-07 09:00:32",-18.05285,25.7062333333333,7,"12"
"1525","2021-01-07 10:00:32",-18.4727833333333,25.6315166666667,7,"9"
"1486","2021-01-07 10:00:32",-18.1802,25.4158,7,"10"
"1521","2021-01-07 11:00:32",-17.97785,25.4737666666667,7,"6"
"1562","2021-01-07 11:00:32",-17.8832166666667,25.6460833333333,7,"7"
"156","2021-01-07 13:00:32",-18.4109666666667,25.9200833333333,7,"2"
"1563","2021-01-07 13:00:32",-17.934,25.7949,7,"8"
"1567","2021-01-07 13:00:32",-18.0398333333333,25.7044833333333,7,"12"
"1565","2021-01-07 14:00:32",-18.46855,25.6314833333333,7,"9"
"1526","2021-01-07 14:00:32",-18.1802,25.4158,7,"10"
"1561","2021-01-07 15:00:32",-17.9668166666667,25.4661,7,"6"
"1602","2021-01-07 15:00:32",-17.8832333333333,25.6460833333333,7,"7"
"1603","2021-01-07 17:00:32",-17.9225666666667,25.80995,7,"8"
"1607","2021-01-07 17:00:32",-18.0411666666667,25.7243666666667,7,"12"
"160","2021-01-07 17:01:03",-18.4272833333333,25.9448666666667,7,"2"
"1605","2021-01-07 18:00:32",-18.4729833333333,25.6297666666667,7,"9"
"1566","2021-01-07 18:00:32",-18.1801833333333,25.4158,7,"10"
"1642","2021-01-07 19:00:32",-17.8831833333333,25.6461,7,"7"
"289","2021-01-07 19:01:03",-17.8830666666667,25.8343166666667,7,"14"
"1601","2021-01-07 20:00:32",-17.9050666666667,25.47805,7,"6"
"164","2021-01-07 21:00:32",-18.4463666666667,26.0286,7,"2"
"1643","2021-01-07 21:00:32",-17.9097833333333,25.82035,7,"8"
