"","Date","Distance_to_Bull_1","Distance_to_Bull_2","Distance_to_Bull_3","Distance_to_Bull_4","Distance_to_Bull_5","Distance_to_Bull_6","Distance_to_Bull_7","Distance_to_Bull_8","Distance_to_Bull_9","Distance_to_Bull_10","Distance_to_Bull_12","Distance_to_Bull_13","Distance_to_Bull_14","Distance_to_Bull_15","Distance_to_Zambezi_River","Distance_to_Victoria_Falls","Circle"
"143",2019-10-20,87.5981677940685,55.3439138764158,38.0818994969434,57.45121921406,47.9836047476799,57.9900059712128,58.2351493884404,55.6386531978867,16.5066858869599,0,46.9771421297498,50.2563028316632,NA,NA,52.4337007695205,50.635482899616,NA
"144",2019-10-21,85.4720974219717,57.8048136014003,41.6164665301878,61.0879111745273,48.0042623329584,60.7727840752968,60.7110512283587,59.404726965118,23.3055741507842,0,49.1206992477104,56.4070209846672,NA,NA,54.053774535587,52.9176943703747,NA
"145",2019-10-22,85.9315532499858,59.8782555128134,42.1736008032107,63.2513242867186,49.4329913245785,63.0552460390018,62.78178999175,62.4252267901008,27.9766552003315,0,54.2440968137627,59.5279241713223,NA,NA,55.6504127640642,54.9094324643466,NA
"146",2019-10-23,84.9465989049654,60.2072139864652,43.653068403758,63.0820281258292,50.7265145907868,63.1484071416778,62.5662227752274,62.4910149407837,28.0244554993585,0,58.6781210288622,58.3977649857427,NA,NA,55.6156797233234,54.8436727511402,NA
"147",2019-10-24,83.508600205083,58.52621975728,43.7774389970333,62.4255856881185,50.5143766826368,62.6782018252144,62.3818306106778,62.3022766535923,26.8972322479202,0,54.489669454959,54.4967327622257,NA,NA,55.3684539648183,54.4775977628911,NA
"148",2019-10-25,86.4361352897044,59.2442077106313,38.7168489629395,61.0156604633721,46.9372812294357,60.9987376797476,60.5528663743161,60.4504776630312,20.8676466011046,0,50.7072040220456,51.5569806791322,NA,NA,54.2124332329012,52.9580518317274,NA
"149",2019-10-26,87.2580516489622,62.3561822948469,38.2479283686059,62.102081155792,47.8340350650916,62.380940471501,62.3689626422586,62.0967420229922,21.7025717937186,0,52.2167208982976,50.4596228065068,NA,NA,55.3776951643356,54.2500532882529,NA
"150",2019-10-27,84.6261886388876,62.6952199578905,41.6154302601754,62.7290324230045,45.5091881541734,62.2535615107187,62.183002372186,62.7334982743927,26.8277945896033,0,54.1302397868134,50.9730485215282,NA,NA,55.211804203006,54.4936351605312,NA
"151",2019-10-28,86.2224916321707,64.6087410570475,46.7820097877095,64.1050205092418,44.6100832903794,63.9478295976629,63.6914952400964,64.5557476267424,25.366106848773,0,54.8560232084638,52.294907023016,NA,NA,56.811015260186,56.007808059345,NA
"152",2019-10-29,83.0469684121437,63.0107169779645,42.8032228532923,62.553041673637,40.3010933227353,62.5705057715643,62.1464561909802,63.4297726214965,28.4211112287096,0,53.1175770107032,51.5631478649563,NA,NA,55.0882920889505,54.5104640212354,NA
"153",2019-10-30,79.0934511763287,62.8068905837239,42.744730696021,60.9604250268556,43.7454093012221,63.106397545468,62.424872194328,62.8975048200324,32.950331749321,0,51.7311476031856,51.9997589473264,NA,NA,54.2663453800154,54.2034802382634,NA
"154",2019-10-31,82.4874568845777,66.1117703208422,43.194516268638,65.0908378049336,46.7034817670157,65.6676056606528,65.5637741526925,65.9815294376579,35.5966939920649,0,51.4494597152015,54.8263373332778,NA,NA,57.6845575408642,57.5943531203864,NA
"155",2019-11-01,83.448197101361,69.6247676291376,48.2137716803038,74.3333118992457,53.0471849463465,69.293847349303,69.1691093230229,69.5341553066736,37.8251847384244,0,54.2009267491469,59.8025236986113,60.756080470366,NA,61.1531511430426,61.1961611896492,NA
"156",2019-11-02,82.0825201914116,65.9694605355319,42.8401442103886,67.3961149825171,48.4890259875724,66.1445010755325,65.7214021820284,65.1754320158325,27.7048562556751,0,47.0415356138941,58.3006456460004,57.6165989639285,NA,58.0648030733079,57.9235920658914,NA
"157",2019-11-03,84.3628461502509,63.3205744277503,35.4146619330014,69.3759099647824,41.7263851374214,62.8584546935168,61.577497635491,65.7647121782362,16.9133354062407,0,43.777536764049,55.4434001289981,55.7138100186336,NA,56.2780318329611,55.6236049912112,NA
"158",2019-11-04,87.5251275655907,64.434281391698,35.368972683283,72.9734111595118,44.0644448630834,65.1188041018783,63.1996307826238,69.490782058905,17.9859350927267,0,44.4023201673653,59.427741635581,NA,NA,58.1350645290365,57.4571659151502,NA
"159",2019-11-05,89.2167597888073,64.0725171152628,36.5157322409696,77.4923677204316,43.63400609778,63.3231400411548,63.4366493238656,63.2142570558405,17.451459736891,0,43.8491601698847,60.6651136587361,55.77054622947,NA,56.3381545002294,55.643540273962,NA
"160",2019-11-06,89.9591304511625,62.0853101936421,38.3669256947315,72.2584978074282,43.4856845148965,61.7479151849704,61.7694487959282,61.4146703178705,16.3419381342051,0,44.1153228834695,53.9754544033635,54.2491984296278,NA,54.8397305547224,54.0441726413385,NA
"161",2019-11-07,87.0821469206951,62.0526421853521,34.9181036443635,61.6496460333999,40.4236846897073,61.4773499855548,61.6178486097679,61.4348851722984,16.2966839911389,0,45.8039406906673,53.3948389814999,53.9322502577722,NA,54.5353870625697,53.6696165635678,NA
"162",2019-11-08,82.9192284650771,65.2377833451213,29.7806277072352,64.2094704448359,46.5467214451696,63.7466604604367,64.0456207679865,64.562741677091,21.3039197924742,0,50.0442259164891,57.0411688036947,59.1160573523594,NA,57.109142202609,56.367677783545,NA
"163",2019-11-09,78.7684139690592,60.9236985157458,29.2386481059057,60.1493880522343,45.7253871223173,59.9183555327093,60.4289826859815,60.7248797241197,17.7099732778918,0,43.2673517853029,53.3748866654789,57.8901128817464,NA,53.3451211615804,52.4577342537177,NA
"164",2019-11-10,82.3435975378422,56.9385284361871,32.9116897602633,56.2786306510447,44.5831503960073,55.4076358295144,56.4189163107495,56.3566976091341,8.0433592272931,0,33.480141041352,46.5452778832062,54.0062287390928,NA,50.5366824379414,48.9480089500563,NA
"165",2019-11-11,81.62023543882,53.458769543847,35.0212635407494,53.6586107885071,35.8079527996689,53.2403710054543,53.8582597677922,53.7111441249229,3.90814179901289,0,29.8242572317771,43.6647514053813,51.8139595792004,NA,48.936389546018,46.8863725662275,NA
"166",2019-11-12,80.4541458126195,49.0711918171322,36.657353401343,51.6941281111956,29.7908743368795,51.5002738466083,51.5675224813009,51.6429119003074,1.76431292259162,0,28.9182290370593,49.2024971739011,49.4094162286394,NA,47.204675946331,44.9059148106306,NA
